Model,GOF Precision,LOF Precision,Neutral Precision,GOF Recall,LOF Recall,Neutral Recall,Neutral MCC,GOF MCC,LOF MCC,GOF F1,LOF F1,Neutral F1
151,0.48,0.9,0.93,0.76,0.85,0.91,0.8526,0.5759,0.77,0.59,0.88,0.92
152,0.49,0.9,0.93,0.77,0.85,0.91,0.8519,0.59,0.7693,0.6,0.88,0.92
153,0.48,0.9,0.93,0.76,0.85,0.91,0.8533,0.5759,0.7679,0.59,0.87,0.92
154,0.49,0.89,0.93,0.76,0.86,0.91,0.8512,0.5815,0.7685,0.59,0.88,0.92
155,0.49,0.9,0.93,0.76,0.85,0.92,0.8533,0.5801,0.77,0.59,0.88,0.92
156,0.48,0.9,0.93,0.76,0.85,0.91,0.854,0.5759,0.77,0.59,0.88,0.92
157,0.5,0.9,0.93,0.76,0.86,0.92,0.8554,0.5901,0.7757,0.6,0.88,0.92
158,0.49,0.9,0.93,0.76,0.86,0.92,0.854,0.5829,0.7721,0.59,0.88,0.92
159,0.48,0.9,0.93,0.76,0.86,0.92,0.8561,0.5759,0.7721,0.59,0.88,0.92
160,0.49,0.9,0.93,0.78,0.85,0.91,0.8533,0.5885,0.77,0.6,0.88,0.92
161,0.5,0.9,0.93,0.77,0.85,0.92,0.8526,0.5929,0.7715,0.6,0.88,0.92
162,0.49,0.9,0.93,0.78,0.85,0.92,0.8561,0.5956,0.7737,0.61,0.88,0.92
163,0.49,0.9,0.93,0.78,0.85,0.92,0.8519,0.5928,0.7708,0.6,0.88,0.92
164,0.49,0.9,0.93,0.78,0.85,0.92,0.8526,0.5899,0.7687,0.6,0.87,0.92
165,0.49,0.9,0.93,0.77,0.85,0.92,0.8547,0.5857,0.7701,0.6,0.88,0.92
166,0.49,0.9,0.93,0.77,0.85,0.92,0.8554,0.5843,0.7729,0.6,0.88,0.92
167,0.49,0.9,0.93,0.78,0.85,0.91,0.8533,0.5941,0.7686,0.6,0.87,0.92
168,0.49,0.9,0.93,0.77,0.85,0.92,0.8533,0.59,0.7693,0.6,0.88,0.92
169,0.49,0.9,0.93,0.77,0.85,0.92,0.8519,0.59,0.7708,0.6,0.88,0.92
170,0.49,0.9,0.93,0.77,0.85,0.92,0.8519,0.5886,0.7715,0.6,0.88,0.92
171,0.5,0.9,0.93,0.76,0.86,0.92,0.8533,0.5916,0.7728,0.6,0.88,0.92
172,0.5,0.9,0.93,0.77,0.86,0.92,0.8569,0.5929,0.7757,0.6,0.88,0.92
173,0.5,0.9,0.93,0.77,0.86,0.92,0.854,0.5929,0.7743,0.6,0.88,0.92
174,0.5,0.9,0.93,0.77,0.86,0.92,0.8533,0.5958,0.7749,0.61,0.88,0.92
175,0.51,0.9,0.93,0.77,0.86,0.92,0.8526,0.6018,0.7756,0.61,0.88,0.92
176,0.5,0.9,0.93,0.77,0.86,0.91,0.8526,0.5958,0.777,0.61,0.88,0.92
177,0.51,0.9,0.93,0.77,0.86,0.92,0.8554,0.6003,0.7792,0.61,0.88,0.92
178,0.52,0.9,0.93,0.76,0.86,0.91,0.854,0.6021,0.7797,0.62,0.88,0.92
179,0.5,0.9,0.93,0.77,0.86,0.91,0.8505,0.5929,0.7707,0.6,0.88,0.92
180,0.51,0.9,0.93,0.77,0.86,0.92,0.8547,0.5988,0.7777,0.61,0.88,0.92
181,0.51,0.9,0.93,0.77,0.86,0.92,0.854,0.6018,0.7784,0.61,0.88,0.92
182,0.5,0.9,0.93,0.77,0.86,0.92,0.8554,0.5943,0.7778,0.61,0.88,0.92
183,0.51,0.9,0.93,0.76,0.86,0.92,0.854,0.596,0.7756,0.61,0.88,0.92
184,0.51,0.9,0.93,0.77,0.86,0.92,0.8533,0.6018,0.7749,0.61,0.88,0.92
185,0.53,0.9,0.93,0.76,0.87,0.92,0.8547,0.6115,0.7818,0.63,0.88,0.92
