Model,GOF Precision,LOF Precision,Neutral Precision,GOF Recall,LOF Recall,Neutral Recall,Neutral MCC,GOF MCC,LOF MCC,GOF F1,LOF F1,Neutral F1,Neutral AP,GOF AP,LOF AP
134,0.82,0.85,0.93,0.26,0.93,0.92,0.8519,0.449,0.7797,0.4,0.89,0.92,0.9754504736996642,0.5657784729565938,0.9417437489631197
135,0.75,0.85,0.92,0.24,0.92,0.92,0.8512,0.4057,0.7768,0.36,0.89,0.92,0.9753604617251478,0.54459625724097,0.9424880235387726
136,0.78,0.85,0.93,0.26,0.92,0.92,0.8547,0.439,0.7796,0.39,0.89,0.92,0.975813385989003,0.576847907686913,0.9433660957532851
137,0.75,0.85,0.93,0.24,0.92,0.92,0.854,0.4057,0.7743,0.36,0.88,0.92,0.9757127533791398,0.5332409238971306,0.9403475552963091
138,0.76,0.85,0.93,0.24,0.93,0.92,0.8583,0.413,0.7832,0.37,0.89,0.92,0.9760248484767478,0.536808995441892,0.9422042544446493
139,0.74,0.85,0.93,0.24,0.92,0.92,0.8519,0.4083,0.7746,0.37,0.88,0.92,0.975849679878777,0.5702189223120304,0.9423036330156116
140,0.73,0.85,0.93,0.24,0.93,0.92,0.8568,0.4037,0.7791,0.36,0.89,0.92,0.9756747687894437,0.5399189999173679,0.9422710225392297
141,0.74,0.85,0.93,0.26,0.92,0.92,0.854,0.418,0.7772,0.38,0.89,0.92,0.975753567192633,0.5413227051671708,0.9428326590354289
142,0.77,0.85,0.93,0.26,0.93,0.92,0.8547,0.4342,0.7817,0.39,0.89,0.92,0.9755526668695575,0.5615628550163219,0.9433561191966625
143,0.76,0.85,0.93,0.2,0.93,0.92,0.8568,0.3778,0.7783,0.32,0.89,0.92,0.975710991933354,0.5006953864142859,0.9417071798179935
144,0.76,0.85,0.93,0.27,0.92,0.92,0.8533,0.4365,0.7803,0.4,0.89,0.92,0.9754719136883987,0.555868334928493,0.9436041759486344
145,0.77,0.85,0.93,0.24,0.92,0.92,0.8526,0.4178,0.7783,0.37,0.89,0.92,0.975802440925734,0.5369182313227454,0.9428470245816606
146,0.77,0.85,0.93,0.22,0.93,0.92,0.8533,0.4008,0.7782,0.35,0.89,0.92,0.9756580413488923,0.517474377180687,0.9424043457362217
147,0.72,0.85,0.93,0.22,0.92,0.92,0.8533,0.3784,0.7749,0.33,0.88,0.92,0.9753415261733271,0.49224813872061685,0.9410236994516028
148,0.72,0.85,0.93,0.2,0.93,0.92,0.8554,0.3676,0.7753,0.32,0.88,0.92,0.9753497048646909,0.4855429320161533,0.9416120441171439
149,0.68,0.84,0.93,0.16,0.93,0.92,0.8547,0.3175,0.772,0.26,0.88,0.92,0.9756249570655122,0.45050248396244774,0.940260149356652
150,0.68,0.85,0.93,0.21,0.92,0.91,0.8512,0.3615,0.7737,0.32,0.88,0.92,0.9751834605976422,0.4746385199460988,0.9411193023989205
151,0.68,0.85,0.93,0.2,0.92,0.92,0.8519,0.3501,0.7709,0.31,0.88,0.92,0.9751682027350275,0.47210853799044655,0.9415225587823416
152,0.64,0.85,0.93,0.18,0.93,0.92,0.8576,0.3208,0.7741,0.28,0.88,0.92,0.9756015435109888,0.4394660845284233,0.9405509359140882
153,0.69,0.85,0.93,0.2,0.93,0.92,0.8568,0.3581,0.7778,0.31,0.89,0.92,0.9750633146295388,0.5005806060504177,0.9420717063190254
154,0.68,0.85,0.93,0.18,0.93,0.92,0.8547,0.3384,0.7759,0.29,0.89,0.92,0.9750712416362467,0.47562989677300765,0.9417580240913975
155,0.66,0.84,0.92,0.15,0.92,0.92,0.8491,0.2995,0.766,0.25,0.88,0.92,0.9753342855200223,0.45183030606506136,0.940680758342074
156,0.68,0.84,0.93,0.18,0.92,0.92,0.8519,0.3384,0.7702,0.29,0.88,0.92,0.974966247750357,0.4831420460694208,0.9415911752437676
157,0.7,0.85,0.93,0.2,0.92,0.92,0.8533,0.3548,0.773,0.31,0.88,0.92,0.9753662580895083,0.49370433024468063,0.9414905682023378
