Model,overall_rank,avg_rank,rank_overall_mcc,rank_overall_recall,rank_overall_precision,rank_overall_accuracy
46,449,448.75,449.0,449.0,448.0,449.0
43,450,449.5,450.0,449.0,450.0,449.0
47,451,451.25,452.0,452.0,449.0,452.0
44,452,451.25,451.0,451.0,452.0,451.0
51,453,453.0,453.0,453.0,453.0,453.0
52,454,454.25,454.0,454.0,455.0,454.0
50,455,454.75,455.0,455.0,454.0,455.0
48,456,456.0,456.0,456.0,456.0,456.0
49,457,457.0,457.0,457.0,457.0,457.0
36,458,458.0,458.0,458.0,458.0,458.0
34,459,459.0,459.0,459.0,459.0,459.0
35,460,460.75,460.0,461.0,461.0,461.0
37,461,461.75,461.0,463.0,460.0,463.0
41,462,462.0,463.0,460.0,465.0,460.0
39,463,462.75,464.0,462.0,463.0,462.0
40,464,463.75,465.0,463.0,464.0,463.0
33,465,464.0,462.0,466.0,462.0,466.0
42,466,465.75,466.0,465.0,467.0,465.0
38,467,466.75,467.0,467.0,466.0,467.0
31,468,468.0,468.0,468.0,468.0,468.0
32,469,469.0,469.0,469.0,469.0,469.0
23,470,470.5,470.0,471.0,470.0,471.0
22,471,470.5,471.0,470.0,471.0,470.0
30,472,472.25,472.0,472.0,473.0,472.0
29,473,473.5,473.0,473.0,475.0,473.0
25,474,474.5,474.0,475.0,474.0,475.0
27,475,475.75,475.0,474.0,480.0,474.0
19,476,476.75,477.0,476.0,478.0,476.0
17,477,477.0,476.0,478.0,476.0,478.0
24,478,478.25,478.0,477.0,481.0,477.0
20,479,478.5,479.0,478.0,479.0,478.0
18,480,479.75,480.0,481.0,477.0,481.0
14,481,480.75,481.0,485.0,472.0,485.0
21,482,481.75,482.0,481.0,483.0,481.0
28,483,482.25,483.0,480.0,486.0,480.0
16,484,483.5,484.0,484.0,482.0,484.0
26,485,484.0,485.0,483.0,485.0,483.0
13,486,486.0,486.0,487.0,484.0,487.0
15,487,486.5,487.0,486.0,487.0,486.0
12,488,488.0,488.0,488.0,488.0,488.0
11,489,489.0,489.0,489.0,489.0,489.0
10,490,490.0,490.0,490.0,490.0,490.0
8,491,491.0,491.0,491.0,491.0,491.0
7,492,492.0,492.0,492.0,492.0,492.0
9,493,493.0,493.0,492.0,495.0,492.0
5,494,494.0,494.0,494.0,494.0,494.0
4,495,494.5,495.0,495.0,493.0,495.0
6,496,496.25,496.0,496.0,497.0,496.0
3,497,496.75,497.0,497.0,496.0,497.0
2,498,498.0,498.0,498.0,498.0,498.0
1,499,499.0,499.0,499.0,499.0,499.0
