Model,GOF Precision,LOF Precision,Neutral Precision,GOF Recall,LOF Recall,Neutral Recall,Neutral MCC,GOF MCC,LOF MCC,GOF F1,LOF F1,Neutral F1,Neutral AP,GOF AP,LOF AP
140,0.79,0.89,0.93,0.66,0.91,0.91,0.8505,0.7085,0.8073,0.72,0.9,0.92,0.9734365834049958,0.707617303509972,0.9431635518452698
141,0.81,0.89,0.93,0.66,0.91,0.92,0.8547,0.7192,0.8135,0.73,0.9,0.92,0.9736386905151764,0.7130028672302768,0.9431361869334334
142,0.79,0.89,0.93,0.66,0.91,0.92,0.8547,0.7054,0.8107,0.72,0.9,0.92,0.9732627124867365,0.7027148195328898,0.9416951597200769
143,0.79,0.88,0.93,0.63,0.91,0.92,0.8505,0.6903,0.8044,0.7,0.9,0.92,0.9729882487768085,0.6933993774717224,0.9408735793062859
144,0.77,0.89,0.93,0.63,0.91,0.92,0.8519,0.6811,0.805,0.69,0.9,0.92,0.9732326918326852,0.6891039042858714,0.9407576418852084
145,0.77,0.89,0.92,0.64,0.91,0.92,0.849,0.6873,0.8043,0.7,0.9,0.92,0.9734877720195254,0.675209649765166,0.9416937767587784
146,0.76,0.89,0.93,0.65,0.91,0.92,0.8547,0.6889,0.8085,0.7,0.9,0.92,0.9737024238699126,0.6880128775509875,0.9411356538268518
147,0.78,0.89,0.93,0.64,0.91,0.92,0.8526,0.6964,0.8086,0.71,0.9,0.92,0.9734301284495178,0.6912430378362837,0.9425458977905657
148,0.78,0.89,0.93,0.68,0.91,0.92,0.8533,0.7129,0.8127,0.73,0.9,0.92,0.9731802471283378,0.6954572471915319,0.9415511100949899
149,0.78,0.88,0.93,0.61,0.92,0.92,0.8526,0.6733,0.8053,0.68,0.9,0.92,0.9729367820374869,0.6712690362321719,0.9416830684967934
150,0.77,0.89,0.93,0.62,0.91,0.92,0.854,0.6765,0.8064,0.69,0.9,0.92,0.9733193522933934,0.683001854319418,0.940394029061607
